iter	Passed	Remaining
416	2643	3696
417	2648	3687
418	2654	3680
419	2660	3674
420	2665	3665
421	2670	3658
422	2675	3649
423	2680	3641
424	2685	3633
425	2690	3625
426	2695	3616
427	2700	3609
428	2706	3602
429	2711	3594
430	2717	3587
431	2723	3580
432	2727	3571
433	2733	3564
434	2738	3556
435	2743	3548
436	2747	3540
437	2753	3533
438	2759	3526
439	2764	3517
440	2771	3513
441	2776	3505
442	2782	3499
443	2788	3491
444	2793	3484
445	2799	3477
446	2805	3470
447	2809	3462
448	2815	3454
449	2820	3447
450	2825	3439
451	2830	3432
452	2835	3424
453	2840	3416
454	2845	3407
455	2852	3403
456	2857	3394
457	2862	3386
458	2867	3380
459	2873	3373
460	2878	3365
461	2883	3358
462	2888	3350
463	2893	3342
464	2899	3335
465	2903	3327
466	2909	3320
467	2915	3314
468	2920	3306
469	2925	3298
470	2930	3291
471	2935	3283
472	2940	3275
473	2946	3269
474	2952	3263
475	2957	3255
476	2963	3249
477	2969	3243
478	2974	3235
479	2980	3229
480	2985	3221
481	2990	3213
482	2996	3206
483	3001	3199
484	3006	3192
485	3012	3186
486	3019	3180
487	3023	3172
488	3029	3165
489	3033	3157
490	3038	3150
491	3044	3143
492	3049	3135
493	3054	3128
494	3060	3121
495	3065	3114
496	3069	3106
497	3075	3100
498	3081	3093
499	3085	3085
500	3091	3079
501	3097	3073
502	3102	3065
503	3108	3059
504	3113	3052
505	3118	3044
506	3123	3037
507	3129	3031
508	3134	3024
509	3141	3018
510	3147	3011
511	3152	3004
512	3160	3000
513	3165	2993
514	3172	2987
515	3178	2981
516	3184	2975
517	3192	2970
518	3198	2964
519	3205	2958
520	3212	2953
521	3218	2947
522	3225	2941
523	3231	2935
524	3237	2928
525	3243	2922
526	3248	2915
527	3253	2908
528	3258	2901
529	3263	2894
530	3268	2887
531	3274	2880
532	3281	2874
533	3287	2868
534	3293	2862
535	3297	2854
536	3303	2848
537	3308	2841
538	3313	2833
539	3318	2827
540	3323	2819
541	3328	2812
542	3333	2805
543	3338	2798
544	3343	2791
545	3347	2783
546	3353	2777
547	3358	2770
548	3363	2763
549	3369	2756
550	3374	2749
551	3378	2742
552	3385	2736
553	3391	2730
554	3396	2723
555	3402	2716
556	3406	2709
557	3411	2702
558	3416	2695
559	3421	2688
560	3426	2681
561	3431	2674
562	3438	2668
563	3443	2662
564	3450	2656
565	3455	2649
566	3460	2643
567	3467	2637
568	3472	2630
569	3477	2623
570	3482	2616
571	3488	2610
572	3493	2603
573	3500	2597
574	3505	2590
575	3510	2583
576	3519	2580
577	3526	2574
578	3532	2568
579	3541	2564
580	3547	2558
581	3553	2552
582	3559	2545
583	3566	2540
584	3572	2534
585	3577	2527
586	3585	2522
587	3590	2515
588	3596	2509
589	3603	2503
590	3609	2497
591	3615	2491
592	3621	2485
593	3627	2479
594	3633	2472
595	3637	2465
596	3643	2459
597	3649	2453
598	3654	2446
599	3659	2439
600	3665	2433
601	3670	2426
602	3675	2419
603	3680	2413
604	3686	2407
605	3692	2400
606	3698	2394
607	3703	2387
608	3708	2381
609	3713	2374
610	3718	2367
611	3722	2360
612	3728	2354
613	3733	2347
614	3738	2340
615	3744	2334
616	3749	2327
617	3755	2321
618	3760	2314
619	3766	2308
620	3771	2301
621	3776	2295
622	3783	2289
623	3787	2282
624	3793	2275
625	3799	2269
626	3804	2263
627	3809	2256
628	3814	2249
629	3819	2243
630	3825	2237
631	3830	2230
632	3835	2223
633	3841	2217
634	3846	2210
635	3851	2204
636	3857	2198
637	3862	2191
638	3866	2184
639	3872	2178
640	3878	2172
641	3882	2165
642	3888	2158
643	3894	2152
644	3899	2146
645	3905	2140
646	3911	2134
647	3916	2127
648	3922	2121
649	3928	2115
650	3933	2108
651	3940	2102
652	3944	2096
653	3949	2089
654	3954	2083
655	3959	2076
656	3964	2069
657	3970	2063
658	3975	2057
659	3980	2050
660	3986	2044
661	3991	2037
662	3996	2031
663	4001	2025
664	4008	2019
665	4013	2012
666	4019	2006
667	4024	2000
668	4029	1993
669	4035	1987
670	4041	1981
671	4046	1975
672	4052	1969
673	4061	1964
674	4069	1959
675	4076	1953
676	4083	1948
677	4089	1942
678	4094	1935
679	4099	1929
680	4107	1923
681	4112	1917
682	4118	1911
683	4128	1907
684	4136	1901
685	4141	1895
686	4152	1891
687	4157	1885
688	4162	1878
689	4169	1873
690	4174	1866
691	4180	1860
692	4187	1855
693	4192	1848
694	4199	1842
695	4204	1836
696	4209	1830
697	4215	1823
698	4226	1820
699	4234	1814
700	4241	1809
701	4249	1804
702	4257	1798
703	4266	1793
704	4271	1787
705	4277	1781
706	4283	1775
707	4287	1768
708	4292	1761
709	4297	1755
710	4302	1748
711	4307	1742
712	4314	1736
713	4320	1730
714	4329	1725
715	4337	1720
716	4344	1714
717	4352	1709
718	4358	1703
719	4364	1697
720	4371	1691
721	4378	1685
722	4387	1680
723	4394	1675
724	4399	1668
725	4406	1663
726	4414	1657
727	4420	1651
728	4429	1646
729	4438	1641
730	4447	1636
731	4451	1629
732	4459	1624
733	4465	1618
734	4471	1612
735	4478	1606
736	4483	1599
737	4488	1593
738	4499	1589
739	4505	1582
740	4512	1577
741	4519	1571
742	4526	1565
743	4533	1560
744	4539	1553
745	4548	1548
746	4553	1542
747	4560	1536
748	4565	1529
749	4570	1523
750	4576	1517
751	4581	1510
752	4585	1504
753	4591	1497
754	4595	1491
755	4600	1484
756	4606	1478
757	4611	1472
758	4616	1465
759	4621	1459
760	4626	1453
761	4631	1446
762	4636	1440
763	4642	1434
764	4647	1427
765	4652	1421
766	4658	1415
767	4663	1408
768	4668	1402
769	4674	1396
770	4679	1389
771	4685	1383
772	4690	1377
773	4695	1371
774	4700	1364
775	4707	1358
776	4712	1352
777	4716	1345
778	4723	1339
779	4728	1333
780	4733	1327
781	4738	1321
782	4743	1314
783	4748	1308
784	4754	1302
785	4761	1296
786	4766	1289
787	4773	1284
788	4777	1277
789	4783	1271
790	4787	1265
791	4792	1258
792	4797	1252
793	4802	1246
794	4807	1239
795	4812	1233
796	4818	1227
797	4823	1220
798	4827	1214
799	4834	1208
800	4839	1202
801	4844	1195
802	4849	1189
803	4855	1183
804	4861	1177
805	4867	1171
806	4872	1165
807	4877	1159
808	4883	1152
809	4887	1146
810	4894	1140
811	4899	1134
812	4904	1128
813	4911	1122
814	4916	1115
815	4921	1109
816	4927	1103
817	4932	1097
818	4937	1091
819	4942	1085
820	4948	1078
821	4953	1072
822	4959	1066
823	4964	1060
824	4969	1054
825	4974	1047
826	4979	1041
827	4984	1035
828	4990	1029
829	4995	1023
830	5000	1017
831	5007	1011
832	5012	1004
833	5017	998
834	5022	992
835	5027	986
836	5032	980
837	5037	973
838	5043	967
839	5048	961
840	5054	955
841	5059	949
842	5064	943
843	5069	937
844	5074	930
845	5079	924
846	5084	918
847	5090	912
848	5094	906
849	5099	899
850	5106	894
851	5111	887
852	5116	881
853	5121	875
854	5126	869
855	5131	863
856	5138	857
857	5143	851
858	5148	845
859	5154	839
860	5161	833
861	5167	827
862	5172	821
863	5177	814
864	5182	808
865	5188	802
866	5193	796
867	5198	790
868	5203	784
869	5208	778
870	5213	772
871	5219	766
872	5224	760
873	5229	753
874	5235	747
875	5240	741
876	5244	735
877	5250	729
878	5254	723
879	5259	717
880	5265	711
881	5271	705
882	5276	699
883	5282	693
884	5287	687
885	5292	680
886	5298	674
887	5303	668
888	5308	662
889	5314	656
890	5319	650
891	5324	644
892	5328	638
893	5334	632
894	5339	626
895	5344	620
896	5350	614
897	5354	608
898	5359	602
899	5365	596
900	5371	590
901	5376	584
902	5382	578
903	5386	572
904	5391	565
905	5399	560
906	5404	554
907	5409	548
908	5416	542
909	5422	536
910	5428	530
911	5434	524
912	5439	518
913	5446	512
914	5452	506
915	5457	500
916	5470	495
917	5478	489
918	5487	483
919	5493	477
920	5499	471
921	5504	465
922	5511	459
923	5518	453
924	5523	447
925	5529	441
926	5534	435
927	5538	429
928	5545	423
929	5550	417
930	5555	411
931	5561	405
932	5565	399
933	5570	393
934	5576	387
935	5583	381
936	5587	375
937	5593	369
938	5598	363
939	5603	357
940	5609	351
941	5614	345
942	5619	339
943	5627	333
944	5634	327
945	5640	321
946	5644	315
947	5649	309
948	5654	303
949	5659	297
950	5664	291
951	5669	285
952	5676	279
953	5683	274
954	5688	268
955	5694	262
956	5698	256
957	5706	250
958	5712	244
959	5717	238
960	5723	232
961	5728	226
962	5734	220
963	5744	214
964	5749	208
965	5755	202
966	5759	196
967	5764	190
968	5770	184
969	5776	178
970	5781	172
971	5787	166
972	5794	160
973	5799	154
974	5804	148
975	5811	142
976	5817	136
977	5824	131
978	5829	125
979	5835	119
980	5840	113
981	5845	107
982	5851	101
983	5856	95
984	5861	89
985	5869	83
986	5874	77
987	5881	71
988	5890	65
989	5897	59
990	5904	53
991	5909	47
992	5914	41
993	5921	35
994	5925	29
995	5930	23
996	5936	17
997	5941	11
998	5946	5
999	5951	0
